SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
532444,T. SPIRITUAL,0.42,0.42,0.42,0.42
532454,BHARTI ARTL ,522.0,533.05,522.0,530.9
532455,SHALIMAR WIR,7.96,7.96,7.81,7.96
532456,COMPUAGE INF,22.0,22.45,21.7,21.85
532457,GULSHAN POLY,173.9,178.0,170.4,175.6
532459,FAZE3AUTO   ,108.2,108.2,95.5,98.25
532460,PONNI SUG(ER,192.55,192.55,184.6,187.05
532461,PUNJAB NATIO,38.05,38.35,37.55,38.1
532466,ORACLE FIN  ,3650.0,3684.1,3638.9,3655.3
532467,HAZ MUL PRO ,7.24,7.24,6.62,6.94
532468,KAMAHOLDING ,6821.0,6940.0,6651.0,6816.65
532475,APTECH LTD  ,217.1,217.1,211.25,212.55
532477,UNION BANK L,37.3,37.7,37.05,37.45
532478,UNITED BREWA,1290.0,1295.05,1272.8,1278.75
532479,ISMT LTD    ,17.4,18.49,17.2,17.51
532481,NOIDA-TOLL B,6.01,6.25,6.01,6.06
532482,GRANULES (I),324.0,328.35,322.2,323.0
532483,CANARA BANK ,148.9,153.4,148.45,152.7
532485,BALMER LA.IN,485.0,497.0,484.5,485.3
532486,POKARNA LTD ,335.2,347.15,312.85,320.4
532488,DIVI'S LAB. ,4069.65,4110.0,4039.85,4079.5
532493,ASTRA MICRO ,122.0,128.5,121.5,125.05
532497,RADICOKHAIT ,610.0,618.15,584.6,589.5
532498,SHRMCITYUN  ,1720.0,1920.3,1720.0,1864.3
532500,MARUTISUZUK ,6770.15,6829.75,6745.0,6811.65
532503,RAJAPAMILLS ,754.75,754.75,740.3,742.1
532504,NAVIN FLUORI,3222.0,3240.1,3185.15,3196.2
532505,UCOBANK     ,12.65,12.84,12.65,12.7
532507,BAG FIL MED ,2.9,2.97,2.8,2.96
532508,JSL         ,95.25,98.3,95.05,95.95
532509,SUPRAJIT ENG,270.0,272.75,268.0,271.65
532513,TVSELE      ,151.9,152.0,145.7,146.6
532514,INDRA GAS   ,509.5,509.5,499.0,502.45
532515,TV TODAY    ,325.8,337.0,319.4,330.25
532521,PALRED      ,140.05,141.25,135.5,139.8
532522,PETRONET LNG,236.3,238.85,235.7,236.55
532523,BIOCON LTD. ,386.9,386.9,381.5,382.45
532524,PTC INDIA   ,92.45,94.95,92.05,92.2
532525,BANK MAHA   ,25.3,25.35,24.9,25.15
532527,RK FORGINGS ,641.15,642.05,625.0,629.7
532528,DATAM GLOB  ,138.0,138.0,134.25,134.55
532529,NDTV        ,77.95,77.95,77.95,77.95
532531,STAR        ,802.3,805.0,788.5,795.05
532532,JAIPRA      ,8.0,8.06,7.72,7.81
532538,ULTRATECH CM,6625.65,6676.05,6591.1,6638.05
532539,MINDA IND   ,565.3,577.1,555.7,560.05
532540,TCS LTD.    ,3065.0,3087.9,3055.35,3080.4
532541,COFORGE     ,3375.0,3386.75,3316.6,3329.9
532543,GULFPETRO   ,45.6,50.3,45.6,49.4
532548,CENTURYPLY  ,394.4,406.0,387.5,402.15
532553,WELENT      ,113.15,115.0,112.05,113.65
532555,NTPC LTD    ,112.75,113.15,111.5,112.85
532604,SALSTEEL    ,4.67,4.67,4.3,4.38
532605,JBM AUTO    ,436.0,436.0,423.0,425.95
532610,DWAR SUGAR  ,52.05,53.25,51.0,51.65
532612,INDOCO REM  ,338.0,353.95,335.0,348.9
532613,VIPCLOTHNG  ,13.96,14.36,13.69,13.91
532614,IMPEX       ,0.85,0.85,0.85,0.85
532616,XCHANGING   ,72.5,76.0,70.2,73.5
532617,JETAIRWAYS  ,90.6,90.6,87.5,89.5
532621,MORARJETEX  ,16.23,17.19,15.81,15.86
532622,GATEWAY DIST,288.0,299.35,283.2,287.25
532624,JINDALPH    ,51.3,53.7,51.05,52.35
532626,PONDY OXIDES,237.1,241.5,233.5,234.8
532627,JPPOWER     ,3.42,3.59,3.31,3.59
532628,3I INFOTECH ,8.9,9.05,8.6,8.9
532629,MCNALLYB    ,7.75,7.81,7.46,7.79
532630,GOKALDAS    ,131.4,133.0,125.5,128.9
532633,ALLSEC TECH ,369.0,389.5,365.3,371.15
532636,IIFL        ,267.35,267.35,260.5,262.5
532637,MAN DRUGORG ,140.0,140.0,135.0,136.25
532638,SHOPPER STOP,209.5,209.95,207.8,209.0
532640,CYBER MEDIA ,10.6,10.65,10.6,10.65
532641,NDL         ,43.1,47.0,42.95,43.55
532642,JSWHL       ,4478.15,4498.0,4420.0,4490.7
532644,JK CEMENT   ,2929.1,2977.8,2903.7,2920.75
532645,BEEYU OVERSE,0.8,0.81,0.8,0.81
532648,YES BANK    ,13.35,13.4,13.17,13.34
532649,NECTAR LIFE ,29.5,30.3,29.4,29.55
532650,MSP STEEL   ,11.45,11.45,10.77,11.05
532651,SPL INDS    ,41.3,45.75,40.65,42.75
532652,KARNATAKA BK,66.8,70.75,66.8,69.8
532654,MCLEOD RUSSE,26.5,27.4,26.5,27.4
532656,FACOR ALLOYS,4.09,4.09,3.93,3.95
532659,IDFC        ,54.0,55.3,53.3,54.75
532660,VIVIMED LABS,28.0,29.3,27.0,28.3
532661,RANE MADRAS ,388.0,398.0,350.1,352.35
532662,HT MEDIA    ,22.0,22.5,20.6,21.6
532663,SASKEN      ,942.8,949.0,931.55,940.85
532666,FCS SOFTWARE,0.89,0.93,0.89,0.93
532667,SUZLONENERGY,5.58,5.58,5.41,5.45
532668,AURIONPRO SO,153.25,153.35,135.45,139.4
532670,RENUKA SUGAR,14.7,15.4,14.44,14.55
532673,KM SUGARMILL,18.7,19.35,18.1,18.3
532674,BANNARI AMMA,71.2,71.9,70.6,70.85
532678,BOMBAY RAYON,6.9,6.9,6.71,6.79
532679,SORILINFRA  ,144.3,155.55,138.2,155.55
532683,AIAENGINEER ,1973.9,1990.65,1963.0,1982.85
