47,500106,IFCI LTD    ,A ,Q,11.0,11.22,10.8,10.96,10.92,10.97,1037,287038,3157543.0,
48,500108,MAHA.TELE   ,B ,Q,17.15,17.45,16.55,17.05,17.05,16.8,1371,362609,6198340.0,
49,500109,MRPL        ,A ,Q,44.45,44.55,43.2,44.1,44.3,43.6,986,218526,9584455.0,
50,500110,CHENNAI PET.,A ,Q,112.8,112.8,107.15,108.8,108.8,111.5,898,131059,14194043.0,
51,500111,REL.CAP.    ,B ,Q,10.69,11.0,10.41,10.88,10.88,10.54,788,255407,2719153.0,
52,500112,STATE BANK  ,A ,Q,357.85,359.4,350.5,355.5,355.5,355.35,18049,2161771,766015634.0,
53,500113,STEEL AUTH. ,A ,Q,131.3,135.0,129.5,133.65,133.65,130.2,18304,6024874,796540554.0,
54,500114,TITAN       ,A ,Q,1431.6,1448.7,1431.6,1443.55,1443.55,1427.65,2062,41643,59968615.0,
55,500116,IDBI BANK L ,A ,Q,41.9,43.5,40.15,40.5,40.5,37.95,23513,10159112,418803396.0,
56,500117,DCW LTD.    ,B ,Q,35.9,36.65,35.15,35.45,35.45,35.55,1065,300277,10785645.0,
57,500119,DHAMPUR SUGA,A ,Q,268.3,269.3,251.45,264.8,264.8,265.35,1857,93563,24212956.0,
58,500120,DIAMINES&CHM,X ,Q,330.0,338.0,326.0,329.65,329.05,329.0,341,12470,4106789.0,
59,500123,ELANTAS     ,A ,Q,3749.0,3749.0,3600.6,3631.15,3636.0,3698.75,181,1225,4519029.0,
60,500124,DR.REDDY'S  ,A ,Q,5160.6,5250.8,5132.0,5165.65,5165.65,5160.6,4242,40139,207997359.0,
61,500125,E.I.D.PAR   ,A ,Q,421.7,428.75,399.45,420.35,417.25,421.55,2118,66962,27399524.0,
62,500126,PGHL        ,A ,Q,6398.0,6398.0,6231.0,6270.5,6270.5,6312.75,323,698,4404392.0,
63,500128,ELEC.CASTING,B ,Q,33.8,35.35,33.35,33.45,33.45,34.0,878,229587,7936067.0,
64,500133,ESAB INDIA  ,A ,Q,1866.7,1880.0,1785.0,1806.6,1806.95,1807.65,167,499,906728.0,
65,500135,EPL         ,A ,Q,229.0,229.0,223.75,225.1,224.75,227.1,250,6836,1545260.0,
66,500136,ESTER INDUS.,B ,Q,155.0,155.55,148.35,149.0,151.0,153.25,1145,64504,9747442.0,
67,500142,FGP LTD.    ,XT,Q,1.44,1.44,1.44,1.44,1.44,1.46,2,200,288.0,
68,500143,P.H.CAPITAL ,X ,Q,31.5,31.5,29.9,29.9,29.9,31.45,2,22,675.0,
69,500144,FINOL. CABLE,A ,Q,361.0,361.5,353.85,356.85,356.5,361.05,633,7541,2690022.0,
70,500147,COCKERILL   ,X ,Q,860.0,869.95,850.0,850.9,865.0,852.35,93,4403,3774760.0,
71,500148,UFLEX LTD   ,A ,Q,449.0,459.8,438.1,446.95,451.3,444.05,1423,37383,16759215.0,
72,500150,FOSECO INDIA,B ,Q,1426.9,1430.0,1373.0,1386.2,1390.0,1415.55,154,605,843353.0,
73,500151,GOLDEN TOB  ,B ,Q,48.45,48.45,45.2,45.8,46.0,45.8,69,1168,54794.0,
74,500153,GANESH BENZO,X ,Q,69.25,69.4,67.25,67.85,67.85,67.45,287,32172,2189475.0,
75,500159,METROGLOBL  ,X ,Q,55.8,62.95,54.05,58.4,58.4,55.55,60,2425,136531.0,
76,500160,GTL LTD.    ,B ,Q,7.21,7.32,7.13,7.32,7.32,6.66,150,86263,630073.0,
77,500163,GODFREY PH  ,A ,Q,867.85,868.15,860.2,863.7,862.65,864.75,199,1629,1406669.0,
78,500164,GODREJ IND  ,A ,Q,523.7,523.7,504.1,507.3,505.0,507.95,169,2073,1051240.0,
79,500165,KANSAI NERO ,A ,Q,597.7,597.7,579.15,592.15,594.0,591.9,845,16182,9492578.0,
80,500166,GOODRICKE   ,X ,Q,238.4,241.75,237.2,238.25,238.25,238.4,143,7475,1788016.0,
